comment,comment_clean,cluster
anak pimpin nama purnawan efendi anak laki mukin umur anak normal umumnyapas kelas anak sakit panas sutik ahirnya anak lumpuh kaki ajar internet kuasa allah anak pintar ahli komputer anakanak kuliah ajar beliau simpul stiap kurang,anak pimpin nama purnawan efendi anak laki mukin umur anak normal umumnyapas kelas anak sakit panas sutik ahirnya anak lumpuh kaki ajar internet kuasa allah anak pintar ahli komputer anakanak kuliah ajar beliau simpul stiap kurang,1
gara bikin akun nama bjorka polisi tuduh bjorka asli gua ketawa terang,gara bikin akun nama bjorka polisi tuduh bjorka asli gua ketawa terang,4
bjorka baca sen guna ahli buka busuk jahat negeri cara bukti nasionalisme republik indonesia,bjorka baca sen ahli buka busuk jahat negeri cara bukti nasionalisme republik indonesia,1
orang benarbenar cerdas lemah masyarakat indonesia religius mudah kelompok orang masuk ranah sensitif otomatis aman konten youtube netizent indonesia gandrung cannel orang orang jalur mayoritas salut cerdas,orang benarbenar cerdas lemah masyarakat indonesia religius mudah kelompok orang masuk ranah sensitif otomatis aman konten youtube netizent indonesia gandrung cannel orang orang jalur mayoritas salut cerdas,1
tsunami fakta,tsunami fakta,0
fakta,fakta,0
nemu polisi lingkung jujur kerja males,nemu polisi lingkung jujur kerja males,2
fakta nyata,fakta nyata,0
mahkota king,mahkota king,1
fakta negara hukum tugas hukum,fakta negara hukum tugas hukum,0
suka kak patroli malem nyamperin kang miras kang parkir tmpat karoke club malem bar trus salam,suka kak patroli malem nyamperin kang miras kang parkir tmpat karoke club malem bar trus salam,1
real,real,1
foto lho beneer,foto lho beneer,1
laku cipta lapang kerja sulit pdhl dampak kurang miskin negara sangt pengaruh sulit gmna ormas ikut jatah anggap lindung rakyat malak harusny kantor pecat smuanya miskin hukum mati kantor efek jera brni main hukum jamin negara maju kayk china,laku cipta lapang kerja sulit pdhl dampak kurang miskin negara sangt pengaruh sulit gmna ormas ikut jatah anggap lindung rakyat malak harusny kantor pecat smuanya miskin hukum mati kantor efek jera brni main hukum jamin negara maju kayk china,1
bener ngalamin lari pagi mobil polisi mberhentiin salah tau suruh motoin doang,bener ngalamin lari pagi mobil polisi mberhentiin salah tau suruh motoin doang,1
bener patroli rutin cegah jahat lha cegah kagak warga nangkep maling dibebasin,bener patroli rutin cegah jahat lha cegah kagak warga nangkep maling dibebasin,1
bjorka level dewa bandar judol mata tangkap,bjorka level dewa bandar judol mata tangkap,6
liat polisi poto doang perut buncit,liat polisi poto doang perut buncit,2
oalah,oalah,1
kelas,kelas,1
faktaa alm kakak bayi rumah persis warung soto pake live musik ganggu volume keras pol nyanyi mabok tegur ngaruh lapor rtnya kakak warung lapor babinsa suruh kantor polsek sampe polsek polisi bilang terang duit mas ngurusin urus begitu anjeng,faktaa alm kakak bayi rumah persis warung soto pake live musik ganggu volume keras pol nyanyi mabok tegur ngaruh lapor rtnya kakak warung lapor babinsa suruh kantor polsek sampe polsek polisi bilang terang duit mas ngurusin urus anjeng,1
polri raport nya metah bingit,polri raport nya metah bingit,7
cermin mayoritas rakyat indonesia wkwkwkkw,cermin mayoritas rakyat indonesia wkwkwkkw,1
pelan pelan bang,pelan pelan bang,1
posisi gonjang ganjing,posisi gonjang ganjing,1
oknum indonesia hahahaha,oknum indonesia hahahaha,1
kam masyarakat kerja cuman lapang pagi doank parah bed,kam masyarakat kerja cuman lapang pagi doank parah bed,1
polisi gitu oknum,polisi gitu oknum,2
bener sihb,bener sihb,1
makan gaji buta doang kerja,makan gaji buta doang kerja,1
gilir pke helm pas tikung bae nyegat nilang,gilir pke helm pas tikung bae nyegat nilang,1
hedeh hedeh,hedeh hedeh,1
hujan terang fakta,hujan terang fakta,0
tilang dimintain uang hebat pungli besarbesaran ramai kantor polresta pangkal pinang bangka belitung kantor loh luar korban orang hitung orang polisi libat bnyak orang oknum polisi nya polresta pangkal pinang provinsi pulau bangka belitung,tilang dimintain uang hebat pungli besarbesaran ramai kantor polresta pangkal pinang bangka belitung kantor loh luar korban orang hitung orang polisi libat bnyak orang oknum polisi nya polresta pangkal pinang provinsi pulau bangka belitung,2
sinar,sinar,1
bang pelan pelan fakta terang,bang pelan pelan fakta terang,0
jujur,jujur,1
rill tsunami fakta bendung,rill tsunami fakta bendung,0
polisi nyrik heker tukang intimidasi beking usaha top dunia,polisi nyrik heker tukang intimidasi beking usaha top dunia,1
bener awas bang takut tukang nasi goreng rumah bawa beceng,bener awas bang takut tukang nasi goreng rumah bawa beceng,1
priitt tunjuk sim stnk salah fakta,priitt tunjuk sim stnk salah fakta,0
hilang kendaran kaga tindak bertahuntahun ujung ikhlas males lapor,hilang kendaran kaga tindak bertahuntahun ujung ikhlas males lapor,1
silau bang,silau bang,1
asumsi orang,asumsi orang,1
lahh daerah,lahh daerah,1
tangkep orang rugi bandar judol,tangkep orang rugi bandar judol,6
hilang hong kong hilang dopet uang ktp hong kong atm lapor polisi hong kong kertas lapor hilang ktp atm bikin ktp atm polisi cari tas hilang tinggal hilang bodoh,hilang hong kong hilang dopet uang ktp hong kong atm lapor polisi hong kong kertas lapor hilang ktp atm bikin ktp atm polisi cari tas hilang tinggal hilang bodoh,1
fakta,fakta,0
nama robot,nama robot,1
awok wadidaw,awok wadidaw,1
rahasia ubah,rahasia ubah,1
eitss,eitss,1
lapor polisi adik hilang thn fakta nya polisi uang nyari,lapor polisi adik hilang thn fakta nya polisi uang nyari,2
bikin surat hilang motor suruh bayar puter tindak lanjut paro harga motor,bikin surat hilang motor suruh bayar puter tindak lanjut paro harga motor,1
nangkap maling lapor polisi suruh lepasin maling nya isilop maling lepas hancur negri,nangkap maling lapor polisi suruh lepasin maling nya isilop maling lepas hancur negri,5
liat polisi pas pagi potodoang perepat lngsung pulanh,liat polisi pas pagi potodoang perepat lngsung pulanh,2
bener reformasi polisi,bener reformasi polisi,2
keluarga peras polisi kerjasama oknum jabat lurah nuntut salah laku,keluarga peras polisi kerjasama oknum jabat lurah nuntut salah laku,1
lapor ilang motor proses ilang mobil,lapor ilang motor proses ilang mobil,1
kingg,kingg,1
motor hilang temu ngambil palak kanit reskrim ank buah mnta duit rokok parah wes,motor hilang temu ngambil palak kanit reskrim ank buah mnta duit rokok parah wes,1
jujur sekalii,jujur sekali,1
bener nganter anak sekolah nya ngebantu nyebrangin anak anak sekolah asyik foto foto lapor liat kerja sebrangi anak,bener nganter anak sekolah nya ngebantu nyebrangin anak anak sekolah asyik foto foto lapor liat kerja sebrangi anak,1
fakta tutup,fakta tutup,0
orang tuju institusi polisi tni kapolri kapolrian,orang tuju institusi polisi tni kapolri kapolrian,2
gua bang kena begal syukur diapaapain cumn ambil doang motor nya anggota nya ngomong begal kaga saksi,gua bang kena begal syukur diapaapain cumn ambil doang motor nya anggota nya ngomong begal kaga saksi,7
bner fto ngajak orang nongkrong poko citra,bner fto ngajak orang nongkrong poko citra,1
real habis foto pulang ngatur lalulintas pakogah,real habis foto pulang ngatur lalulintas pakogah,1
realeated kota kaya,realeated kota kaya,1
cahaya tuan,cahaya tuan,1
fakta polisi gitu gausah oknum muak,fakta polisi gitu gausah oknum muak,0
polisi konoha,polisi konoha,2
gilak penah fakta terang,gilak penah fakta terang,0
elah pake skenario sandiwara contoh grebek cafe tilang tilang maling teriak maling tawur polisi olah kerja parah nyuruh orang ngedarin narkoba dampak tangkep orang penasaran narkoba,elah pake skenario sandiwara contoh grebek cafe tilang tilang maling teriak maling tawur polisi olah kerja parah nyuruh orang ngedarin narkoba dampak tangkep orang penasaran narkoba,1
komen sesuai fakta,komen sesuai fakta,0
bro gitu mkdal bro,bro gitu mkdal bro,1
anak smp suruh motoin pagi,anak smp suruh motoin pagi,1
nyata,nyata,1
bang bang,bang bang,1
foto empat ngopi daerah,foto empat ngopi daerah,1
anjirr suruh motoin,anjirr suruh motoin,1
nyata swperti cari kambing hitam,nyata swperti cari kambing hitam,1
foto bntr dokumen kirim grup polisi,foto bntr dokumen kirim grup polisi,2
bantu mabes mas mas bawah ikat yaah system,bantu mabes mas mas bawah ikat yaah system,1
fakta,fakta,0
savage,savage,1
tuju,tuju,1
terang,terang,1
fakta,fakta,0
akar,akar,1
gua tuju gua pling mles nmnya isi lop,gua tuju gua pling mles nmnya isi lop,1
terang fakta,terang fakta,0
faktaa bang,faktaa bang,1
bener sekalikalau pagi jaga lintas pegawai busway,bener sekalikalau pagi jaga lintas pegawai busway,1
fakta,fakta,0
diomongin baca yaa,diomongin baca yaa,1
jabarin borok,jabarin borok,1
ban nyata hmm syulit,ban nyata hmm syulit,1
fakta terang terang cahaya ilahi,fakta terang terang cahaya ilahi,0
konoha,konoha,1
mending nangjap bjorka,mending nangjap bjorka,4
abis foto kirim atas lapor abis ngopi liat pagi,abis foto kirim atas lapor abis ngopi liat pagi,1
bobrok institusi bayar gaji masyarakat,bobrok institusi bayar gaji masyarakat,1
fakta maseh,fakta maseh,0
lingkung dukung,lingkung dukung,1
cocok makan gaji rakyat manfaat rakyat,cocok makan gaji rakyat manfaat rakyat,1
kantor polisi rumah temen maling tas dompet hilang surat temen bilang lapor surat hilang blablabla polisi blablabla temen administrasi polisi temen maturnuwun and langkah jalan panggil pakpol pakpol mas mas pernae rokoke permene gila administrasi pas tiba ngasih kode uang jajan orang kena musibah maling lawak,kantor polisi rumah temen maling tas dompet hilang surat temen bilang lapor surat hilang blablabla polisi blablabla temen administrasi polisi temen maturnuwun and langkah jalan panggil pakpol pakpol mas mas pernae rokoke permene gila administrasi pas tiba ngasih kode uang jajan orang kena musibah maling lawak,2
oii jujur,oii jujur,1
ngoten gercep bang,ngoten gercep bang,1
polisi jujur hoegeng polisi tidur,polisi jujur hoegeng polisi tidur,2
rampok kasus sulit bpkb surat kendara curi mgurus habis mobil korban gila konoha dpt gaji kerja tidur malak orang mah jahat legal,rampok kasus sulit bpkb surat kendara curi mgurus habis mobil korban gila konoha dpt gaji kerja tidur malak orang mah jahat legal,1
dih ngomong suka bener,dih ngomong suka bener,1
temen kena narkobs ketangkep tiba bsoknya rumah iseng nebus surat lapor sbelum layang jaksa njiir gilaak bener mahfud urus hukum pintu utama polisi,temen kena narkobs ketangkep tiba bsoknya rumah iseng nebus surat lapor sbelum layang jaksa njiir gilaak bener mahfud urus hukum pintu utama polisi,1
patroli malam liat polisi patroli malam henti depan karaoke mobil orang hampir bawan rokok,patroli malam liat polisi patroli malam henti depan karaoke mobil orang hampir bawan rokok,1
iyah lagih,iyah lagih,1
bener bobrok oknum bejibun,bener bobrok oknum bejibun,1
nahh ituu,nahh ituu,1
faktaa,faktaa,1
real lapang,real lapang,1
pingin masuk gua hacker akses,pingin masuk gua hacker akses,1
masukksana bayar heran jdinya bgini,masukksana bayar heran jdinya bgini,1
preman bikin susah dunia usaha,preman bikin susah dunia usaha,1
pengelihtan gua karna kbiasaan enak mngkin sim byar pajek susah situ masyrakat nembak bikin cpt mudah situ enak kbiasaan bhkan bukan sepele,pengelihtan gua karna kbiasaan enak mngkin sim byar pajek susah situ masyrakat nembak bikin cpt mudah situ enak kbiasaan bhkan bukan sepele,1
alami parah bro nabrak orang sampae patah tulang tanggungjawab korban biaya tanggungjawab laka lantas jasa raharja jasa raharja saran kakak korban jasa raharja biaya tuju urus jasa raharja surat polsekpolres syarat jasa raharja cair dana urus surat polrespolsek bilang paro polsekpolres arti urus selesai singkat dana jasa raharja turun polsek bawa amplop isi uang ribu dana korban obat dana sekian silah tinggal polsek urus obat korban alam hati urus jasa raharja pandai rugi,alami parah bro nabrak orang sampae patah tulang tanggungjawab korban biaya tanggungjawab laka lantas jasa raharja jasa raharja saran kakak korban jasa raharja biaya tuju urus jasa raharja surat polsekpolres syarat jasa raharja cair dana urus surat polrespolsek bilang paro polsekpolres arti urus selesai singkat dana jasa raharja turun polsek bawa amplop isi uang ribu dana korban obat dana sekian silah tinggal polsek urus obat korban alam hati urus jasa raharja pandai rugi,1
jujur,jujur,1
bener bangett cuyy,bener bangett cuyy,1
benerr,benerr,1
abang ngomong suka bener,abang ngomong suka bener,1
buset fakta,buset fakta,0
ariesbast balikin modal ngejar visi misi oknum,ariesbast balikin modal ngejar visi misi oknum,1
gua cuman gua polisi foto empat foto foto empat tinggal,gua cuman gua polisi foto empat foto foto empat tinggal,1
patroli cafe tuak,patroli cafe tuak,1
jir fakta wkwkwkwkwk,jir fakta wkwkwkwkwk,0
kelass king,kelass king,1
malem pergi bri atm orang parcok foto pintu masuk bank salah nya fotoin gataunya satu adl tetangga kya cengok sampe ktmu shalat jamaah kya hindar gtu hehehe,malem pergi bri atm orang parcok foto pintu masuk bank salah nya fotoin gataunya satu adl tetangga kya cengok sampe ktmu shalat jamaah kya hindar gtu hehehe,1
loh,loh,1
ariesbast masuk suap anggap profesi abdi bisnis,ariesbast masuk suap anggap profesi abdi bisnis,1
termull,termull,1
bobyenugraha jirr kaya instansi perintah lurah ketua dpc ormas tukang palak lapak camat isi dominan keluarga,bobyenugraha jirr kaya instansi perintah lurah ketua dpc ormas tukang palak lapak camat isi dominan keluarga,1
oknum cendrung baik teman teman,oknum cendrung baik teman teman,1
fakta suami sya kerja satpam polisi dteng bwa mobil fto kabur,fakta suami sya kerja satpam polisi dteng bwa mobil fto kabur,0
jokonarimo dsini brrti,jokonarimo dsini brrti,1
senin kamis kota foto foto,senin kamis kota foto foto,1
wkwkw,wkwkw,1
looh kaget,looh kaget,1
boom empat kadang nyuruh kang ojek fotoin,boom empat kadang nyuruh kang ojek fotoin,1
rekrutmen pungli bayar lolos sampek kiamat kerja sesuai job desk nya temen sampe ngandelin gaji nutup uang,rekrutmen pungli bayar lolos sampek kiamat kerja sesuai job desk nya temen sampe ngandelin gaji nutup uang,7
nir bener,nir bener,1
bener fakta,bener fakta,0
asa tender cyber security,asa tender cyber security,1
banjir faktaa boss,banjir faktaa boss,1
komen kog suka bener,komen kog suka bener,1
fakta ngak maju kantor sabtu libur,fakta ngak maju kantor sabtu libur,0
hahahahah selfi dlu abis cabut,hahahahah selfi dlu abis cabut,1
tau keluarga sanak saudara daftar polisi benci rekrutmen daftar ribu dikit butuh polisi,tau keluarga sanak saudara daftar polisi benci rekrutmen daftar ribu dikit butuh polisi,2
fakta kampung gitu pas rajia lalulintas bikin rugi masyarakat ayom nya,fakta kampung gitu pas rajia lalulintas bikin rugi masyarakat ayom nya,7
gausah jauh bang bikin sim calo calo polisi sndiri,gausah jauh bang bikin sim calo calo polisi sndiri,1
empat polwannya make tebal glowing glowing pagi empat,empat polwannya make tebal glowing glowing pagi empat,1
parah,parah,1
kerja idam idam orang calon mertua,kerja idam idam orang calon mertua,1
bayar bayar habis tanah habis sawah habis,bayar bayar habis tanah habis sawah habis,1
bismillah assalamualaikum jual rumah harga tanah kosong luas tanah luas bangun mpersegi cocok usahadan rumah pribadi lokasi jln kedung baruk sby timur persis indomart rumah ininol jln raya jual cuman harga tanah kosong sajasurat shm ready kamar kos penuh hun,bismillah assalamualaikum jual rumah harga tanah kosong luas tanah luas bangun mpersegi cocok usahadan rumah pribadi lokasi jln kedung baruk sby timur persis indomart rumah ininol jln raya jual cuman harga tanah kosong sajasurat shm ready kamar kos penuh hun,1
slow bang fokus perut seragam coklat,slow bang fokus perut seragam coklat,1
warga suruh ronda,warga suruh ronda,1
real madrid,real madrid,1
ortu lapor hilang gas maling ketangkep kak ortu lapor suruh bayar lapor gila lepas maling,ortu lapor hilang gas maling ketangkep kak ortu lapor suruh bayar lapor gila lepas maling,1
hilang motor sepupu lapor polisi gubris maling motor informasi lacak alhamdulilah ketemu berkat tunjuk hilang nya daerah ambil kelompok hilang nya daerah kelompok ambil,hilang motor sepupu lapor polisi gubris maling motor informasi lacak alhamdulilah ketemu berkat tunjuk hilang nya daerah ambil kelompok hilang nya daerah kelompok ambil,7
fakta pernh ngalamin busuk ladusing,fakta pernh ngalamin busuk ladusing,0
terang benderang,terang benderang,1
taat patung polisi polisi tidur,taat patung polisi polisi tidur,2
benerr,benerr,1
coklat adab sok etika,coklat adab sok etika,1
turis asing lapor damkar hilang,turis asing lapor damkar hilang,1
bobrok institusi heran nya malu kapolrinya mundur,bobrok institusi heran nya malu kapolrinya mundur,7
tau polisi aib,tau polisi aib,2
dokumen orang dikerjain bayar negara,dokumen orang dikerjain bayar negara,1
wow,wow,1
bang real negri iniyg susah tmbh susah kena mslh hkum,bang real negri iniyg susah tmbh susah kena mslh hkum,1
fakta real terjdi negri,fakta real terjdi negri,0
acab,acab,1
bener wkwkwkwkw pagi nemuin pagi pose atur lintas poto temennya jalan orang krusial orang berangkat sekolah kerja,bener wkwkwkwkw pagi nemuin pagi pose atur lintas poto temennya jalan orang krusial orang berangkat sekolah kerja,1
tenggelam laut fakta,tenggelam laut fakta,0
christytolissautboydenpard beda preman beda seragam,christytolissautboydenpard beda preman beda seragam,1
lapor tipu urus cmk dapet kertas doang,lapor tipu urus cmk dapet kertas doang,1
bener bang bener foto empat mnt habis ilang,bener bang bener foto empat mnt habis ilang,1
fakta biadab polisi,fakta biadab polisi,0
nya yak siang,nya yak siang,7
polisi gajih perintah perintah gajih rakyat bayar pajak kerja bayar,polisi gajih perintah perintah gajih rakyat bayar pajak kerja bayar,2
analisanya,analisanya,1
kelazz kingg,kelazz kingg,1
understand king people people know,understand king people people know,1
inget pas smk turun bus trus polisi pake motor polisi foto murid doang pergi,inget pas smk turun bus trus polisi pake motor polisi foto murid doang pergi,2
pantes bilang oknum,pantes bilang oknum,1
waduhh benerr,waduhh benerr,1
polisi planga plongo,polisi planga plongo,2
basicly uang uang gaji tunjang dasar serakah tamak embel embel polisi lembaga kuat engga uang kepake lembaga bullshit polisi suka ngonten rusak citra,basicly uang uang gaji tunjang dasar serakah tamak embel embel polisi lembaga kuat engga uang kepake lembaga bullshit polisi suka ngonten rusak citra,2
tempat seser beking tambang emas ilegal kayu ilegal sabung ayam kadang jaga pesta hajat pakai hibur tarif,tempat seser beking tambang emas ilegal kayu ilegal sabung ayam kadang jaga pesta hajat pakai hibur tarif,1
buetull baget,buetull baget,1
budaya turun turun senior tindas junior laku budaya rubah benar orang super tangan besi,budaya turun turun senior tindas junior laku budaya rubah benar orang super tangan besi,1
curhat,curhat,1
liat foto abis pergi,liat foto abis pergi,1
anjir polisi kerja bener bener lapang oknum karna anggota foto foto cabut,anjir polisi kerja bener bener lapang oknum karna anggota foto foto cabut,1
hacker data bisnis bjorka skenario buruk rusak indonesia hitam bisnis putih indonesia duli indonesia,hacker data bisnis bjorka skenario buruk rusak indonesia hitam bisnis putih indonesia duli indonesia,1
reaall,reaall,1
dasar pilis emng pilis miskin akal sehat moral,dasar pilis emng pilis miskin akal sehat moral,1
fakta polri guna habis anggar negara malak masyarakat,fakta polri habis anggar negara malak masyarakat,0
bang,bang,1
polres jogja polres bantul lapor kesana kertas doang tindak,polres jogja polres bantul lapor kesana kertas doang tindak,1
ril ketangkep motor lengkap knalpot standar inti standar pabrik situ kena nebus motor kantor gitu gampang mending gin bilang selang tmn ketangkep pas balap liar taulahy motor kya gitu gmna kondisi motor nebus motor cuman anj,ril ketangkep motor lengkap knalpot standar inti standar pabrik situ kena nebus motor kantor gitu gampang mending gin bilang selang tmn ketangkep pas balap liar taulahy motor kya gitu gmna kondisi motor nebus motor cuman anj,1
fakta ngalamin kaya gitu musibah bantu palak orang isilop ikutikutan tempat polisi patroli pagi doang ferdi sambo polisi coreng pagi polisi jagajaga empat adem ayem kaha gin polisi luar kantor langka,fakta ngalamin kaya gitu musibah bantu palak orang isilop ikutikutan tempat polisi patroli pagi doang ferdi sambo polisi coreng pagi polisi jagajaga empat adem ayem kaha gin polisi luar kantor langka,2
reformasipolri,reformasipolri,1
lulus polisi kerja bener,lulus polisi kerja bener,2
gua ken indo nepal part pas rakyat murka perintah ceburin dahh jabat publik nepal bar ngasih contoh ayo donk ceburin sambitin,gua ken indo nepal part pas rakyat murka perintah ceburin dahh jabat publik nepal bar ngasih contoh ayo donk ceburin sambitin,1
masak,masak,1
buka bisnis mending negeri ngapain harap regulasi kek taik,buka bisnis mending negeri ngapain harap regulasi kek taik,1
gua kmrn tilang pintain duit bang nanya gua gua bilang gamau nya yaa tau,gua kmrn tilang pintain duit bang nanya gua gua bilang gamau nya yaa tau,7
pangkat letnan duit,pangkat letnan duit,1
bang narikin duit doang tempat kroke trus warung jual miras bukti temen ndiri silah cek,bang narikin duit doang tempat kroke trus warung jual miras bukti temen ndiri silah cek,1
coklat jujur oknum oknum buanyakk alam lapor gelap sales sampe sekar maju lapor kantor duit duit lapor jalan,coklat jujur oknum oknum buanyakk alam lapor gelap sales sampe sekar maju lapor kantor duit duit lapor jalan,1
ammarzonetv aman rumah hacker twrdetek,ammarzonetv aman rumah hacker twrdetek,1
sst,sst,1
skill bang langsung skill ulti gitu wkkwk,skill bang langsung skill ulti gitu wkkwk,1
sloganya ayom lindung bayar polisi cemen berani ama korup rakyat ngkp aniaya siksa rakyat tau laku polisi citra ngaruh rakyat fakta lapang sungguh kejam,sloganya ayom lindung bayar polisi cemen berani ama korup rakyat ngkp aniaya siksa rakyat tau laku polisi citra ngaruh rakyat fakta lapang sungguh kejam,2
uang abang kerja uang abang malak,uang abang kerja uang abang malak,1
mesti institusi polisi polisi polisi tni pisah polisi reguler satu kantor bikin mandiri lapor langsung pusat daerah koordinasi tugas awas tangkap tangan oknum polisi langgar hukum karirnya beda polisi masuk pensiun mutasi satu benar penting enak satu beda tingkat daerah bnn pimpin tingkat bintang propam kantor nyatu mutasi satu tingkat polres pangkat kasat provos mentok iptuakp tingkat perwira segan mesti tingkat polres pangkat kompol awas perwira satu penjahatpengusaha lobi polisi reguler satu modal minimal ketar tir bikin lembaga independen isi ahli hukum integritas tugas bpk audit tugas polisi propinsi lapor kapolri langsung presiden mumpung reformasi polisi,mesti institusi polisi polisi polisi tni pisah polisi reguler satu kantor bikin mandiri lapor langsung pusat daerah koordinasi tugas awas tangkap tangan oknum polisi langgar hukum karirnya beda polisi masuk pensiun mutasi satu benar penting enak satu beda tingkat daerah bnn pimpin tingkat bintang propam kantor nyatu mutasi satu tingkat polres pangkat kasat provos mentok iptuakp tingkat perwira segan mesti tingkat polres pangkat kompol awas perwira satu penjahatpengusaha lobi polisi reguler satu modal minimal ketar tir bikin lembaga independen isi ahli hukum integritas tugas bpk audit tugas polisi propinsi lapor kapolri langsung presiden mumpung reformasi polisi,2
daerah kak indonesia yaa,daerah kak indonesia yaa,1
temenku lapor hasil jebretan foto lalulalu,temenku lapor hasil jebretan foto lalulalu,1
polisi bang,polisi bang,2
emng polisi indonesia gitu bobrok,emng polisi indonesia gitu bobrok,2
bayar akhirat,bayar akhirat,1
komen suka fix okunumnya engga oknum sewa bazerr masyarakat normal indonesia tuju fakta deatas,komen suka fix okunumnya engga oknum sewa bazerr masyarakat normal indonesia tuju fakta deatas,1
bener,bener,1
mrasa baca komen ino senyam senyum sdikit tir smoga baik hukum indonesia,mrasa baca komen ino senyam senyum sdikit tir smoga baik hukum indonesia,1
usaha tau hasil uang kena musibah mobil laka lantas duitin ngurus mobil tebus,usaha tau hasil uang kena musibah mobil laka lantas duitin ngurus mobil tebus,1
bener bang foto jalan pagi rahasia kek gitu gaji kesel hilang motor lapor kena cuma kertas suruh tinggalin nomer sampe gda kabar,bener bang foto jalan pagi rahasia kek gitu gaji kesel hilang motor lapor kena cuma kertas suruh tinggalin nomer sampe gda kabar,1
fakta sam jgk ngurus sim sngt dasar aparat konoha,fakta sam jgk ngurus sim sngt dasar aparat konoha,0
sampe negeri grogoti aparat,sampe negeri grogoti aparat,1
bang miara cepu,bang miara cepu,1
bayar brp,bayar brp,1
ariesbast kak,ariesbast kak,1
bener motor gua ketemu taun hilang pas suruh bayar anjir harga motor harga motor satria gua kisar ilang gitu pas nya suruh bayar juta polisi tau gitu beli bodong bpkb stnk tinggal ketok mesin begitu otak kotor muncul lakuin sampe alhamdulillah dzalimi polisi allah rumah mobil motor biji moga kena dzalim allah balas nya doa usaha guyss,bener motor gua ketemu taun hilang pas suruh bayar anjir harga motor harga motor satria gua kisar ilang gitu pas nya suruh bayar juta polisi tau gitu beli bodong bpkb stnk tinggal ketok mesin otak kotor muncul lakuin sampe alhamdulillah dzalimi polisi allah rumah mobil motor biji moga kena dzalim allah balas nya doa usaha guyss,7
ngomong bener,ngomong bener,1
lulus smk tau polisi orang dalem duit,lulus smk tau polisi orang dalem duit,2
indonesia polisi nya,indonesia polisi nya,7
daerah fomo fotoin doang trus diri tepi jalan,daerah fomo fotoin doang trus diri tepi jalan,1
betul sampah instansi uang kuasa wanita tuju polisi,betul sampah instansi uang kuasa wanita tuju polisi,2
bener bet ihh,bener bet ihh,1
fakta instansi gin polisi konoha,fakta instansi gin polisi konoha,0
pin dedd,pin dedd,1
wkwkw,wkwkw,1
pulang sekolah beli warung makan pas ehh oknum polisi tni ngajak foto pegang bungkus habis sosialisasi,pulang sekolah beli warung makan pas ehh oknum polisi tni ngajak foto pegang bungkus habis sosialisasi,1
terinakasih,terinakasih,1
darah daging bobrok,darah daging bobrok,1
butuh liberasi liberasi yntv,butuh liberasi liberasi yntv,1
nyata guna masyarakat polisi tidur karna bantu amplopin,nyata masyarakat polisi tidur karna bantu amplopin,2
byorka palsu tangkap,byorka palsu tangkap,3
