clean_comment,char_length,word_count,sentiment_label,sentiment_score,confidence,prob_positive,prob_neutral,prob_negative
ariesbast masuk suap anggap profesi abdi bisnis,47,7,neutral,1,0.980885,0.001008288,0.980885,0.018106656
jokonarimo1899 ku dsini aja brrti,33,5,neutral,1,0.9960226,0.0028424836,0.9960226,0.0011348609
senin kamis kota foto foto,26,5,neutral,1,0.99661106,0.0025001795,0.99661106,0.00088880013
boom empat kadang nyuruh kang ojek fotoin,41,7,neutral,1,0.93847525,0.0017506,0.93847525,0.05977416
asa tender ada cyber security,29,5,neutral,1,0.9834969,0.0012287223,0.9834969,0.015274424
empat polwannya make up tebal glowing glowing pagi aja empat,60,10,neutral,1,0.8879383,0.07430172,0.8879383,0.037759986
bismillah assalamualaikum jual rumah dgn harga tanah kosong luas tanah 700m luas bangun 500mpersegi cocok usahadan rumah pribadi lokasi jln kedung baruk no 140sby timur persis indomart rumah ininol jln raya jual cuman harga tanah kosong sajasurat shm ready 14 kamar kos penuh hun,279,44,neutral,1,0.724621,0.20263147,0.724621,0.072747596
warga suruh ronda,17,3,neutral,1,0.99561465,0.00084362447,0.99561465,0.0035417592
real madrid,11,2,neutral,1,0.7985835,0.17502823,0.7985835,0.026388211
hilang motor fu sepupu lapor polisi gubris kenal yg maling motor informasi lacak alhamdulilah ketemu berkat tunjuk hilang nya daerah yg ambil kelompok hilang nya du daerah kelompok yg ambil,189,30,neutral,1,0.52374214,0.003997629,0.52374214,0.47226024
turis asing aja lapor damkar hilang hp,38,7,neutral,1,0.7569654,0.0008149507,0.7569654,0.24221967
christytolissautboydenpard2794 beda preman beda seragam aja,59,6,neutral,1,0.98830914,0.0015522379,0.98830914,0.010138668
si si nya yak siang,19,5,neutral,1,0.93830067,0.005252083,0.93830067,0.056447223
analisanya,10,1,neutral,1,0.78273225,0.20499037,0.78273225,0.0122774495
kasih understand king biar people people know,45,7,neutral,1,0.75100785,0.144019,0.75100785,0.1049731
tempat seser beking tambang emas ilegal kayu ilegal sabung ayam kadang jaga pesta hajat pakai hibur tarif,105,17,neutral,1,0.5450393,0.003658104,0.5450393,0.45130265
fakta polri guna habis anggar negara malak masyarakat,53,8,neutral,1,0.666862,0.0018994167,0.666862,0.33123857
jngn bang,9,2,neutral,1,0.5982234,0.29561868,0.5982234,0.10615796
reformasipolri,14,1,neutral,1,0.78336823,0.1214051,0.78336823,0.09522665
daerah kak indonesia yaa,24,4,neutral,1,0.94716036,0.050600883,0.94716036,0.002238826
temenku aja lapor hasil jebretan foto lalulalu,46,7,neutral,1,0.8387109,0.0011933023,0.8387109,0.16009577
bang miara cepu,15,3,neutral,1,0.75978196,0.1765693,0.75978196,0.06364874
bayar brp,9,2,neutral,1,0.900596,0.040985703,0.900596,0.058418255
ariesbast ku jg kak,19,4,neutral,1,0.9526475,0.046077106,0.9526475,0.0012754124
fakta instansi gin polisi konoha,32,5,neutral,1,0.98722875,0.003264333,0.98722875,0.00950696
pin dedddd,10,2,neutral,1,0.861012,0.13629971,0.861012,0.0026883013
butuh liberasi liberasi yntv,28,4,neutral,1,0.87219226,0.011738241,0.87219226,0.11606948
alam unik th 2014 sadap hp pacar jarak yg skrg istri lihat posisi dmn ambil gmbar hp jadulnya tau obrol tlp nya masuk sms wa tarik hibur skrg lupa tua,150,30,neutral,1,0.8287448,0.0065780557,0.8287448,0.16467705
jm 8 empat uap coba cek warkop2 dekat,37,8,neutral,1,0.9964886,0.0029015415,0.9964886,0.0006099082
foto ku polisi kyk nya udh ajak foto sma polisi,47,10,neutral,1,0.52241534,0.012327832,0.52241534,0.46525687
bobyenugraha3811 salam selip amplop,35,4,neutral,1,0.9959298,0.003037773,0.9959298,0.0010324508
istilah darah daging hapus uninstall update sistem aplikasi yg,62,9,neutral,1,0.97468424,0.0007261791,0.97468424,0.024589535
nama budi,9,2,neutral,1,0.8435204,0.09605829,0.8435204,0.060421273
fufufafa alih peran,19,3,neutral,1,0.9964239,0.0019921635,0.9964239,0.001584024
kaumrebahanmerapat9748 fery irwandi gk singgung gw heran,56,7,neutral,1,0.7120774,0.010214507,0.7120774,0.27770814
kaumrebahanmerapat9748 buzzer bang,34,3,neutral,1,0.85717624,0.11291484,0.85717624,0.029908888
kaumrebahanmerapat9748 yaelahh aja yg cocok log kesini,54,7,neutral,1,0.9341649,0.04189297,0.9341649,0.023942197
kaumrebahanmerapat9748 lomba arang jamin dpt juara,50,6,neutral,1,0.92617685,0.07277709,0.92617685,0.0010460638
kaumrebahanmerapat9748 jokowi dah serius nanya,46,5,neutral,1,0.99542326,0.0014178078,0.99542326,0.0031588883
kaumrebahanmerapat9748 iya gw buzzer mobil esemka udah anggar prioritas covid izasah ugm udah bilang asli lu,108,16,neutral,1,0.9418792,0.0067563085,0.9418792,0.05136457
abcdewxz rumor gk tuh,21,4,neutral,1,0.57984793,0.010209357,0.57984793,0.40994272
kaumrebahanmerapat9748 yg bahas komen nya kadang ni,51,7,neutral,1,0.9874335,0.0021770676,0.9874335,0.0103894835
tangkap byorka bjorka,21,3,neutral,1,0.97062916,0.0016350595,0.97062916,0.027735816
gimna nih kira2 dah dapet rencana promosi pangkat jabat yg kmrn nangkep bjorka kw,81,14,neutral,1,0.77739716,0.016830977,0.77739716,0.20577191
denimallik8943 jendral nya dlu,30,4,neutral,1,0.99731904,0.0011190495,0.99731904,0.0015618929
kaumrebahanmerapat9748 anak abah anak abah,42,5,neutral,1,0.98834664,0.009986237,0.98834664,0.0016671527
kaumrebahanmerapat9748 tuh udah gua tag biar puas kenal d koment om ded epek miskin ga dapet bansos,99,17,neutral,1,0.66558367,0.04298693,0.66558367,0.29142934
kaumrebahanmerapat9748 aje tim panci makn banteng,49,6,neutral,1,0.98162305,0.014519032,0.98162305,0.0038578743
kaumrebahanmerapat9748 komenmu ku liat2 bawa2 jokowi dividio tpi vidio lohh btw komentar 100rp dapet,100,14,neutral,1,0.82204044,0.10366223,0.82204044,0.074297376
tangkap bjirka,14,2,neutral,1,0.53579867,0.005865936,0.53579867,0.45833528
kaumrebahanmerapat9748 jokowi jokowi indonesia gk yg jokowi,59,7,neutral,1,0.92559016,0.011117488,0.92559016,0.06329231
kaumrebahanmerapat9748 bahas,28,2,neutral,1,0.99126935,0.006419986,0.99126935,0.0023106937
kaumrebahanmerapat9748 mentok alih atas alih nyaman hargadiri suap nasi,71,9,neutral,1,0.9271606,0.0039701294,0.9271606,0.06886924
tau singkat bjorka,18,3,neutral,1,0.99089164,0.0052712853,0.99089164,0.0038371768
publikasi iya basmi kaya engga deh,34,6,neutral,1,0.5780381,0.021960406,0.5780381,0.4000015
ramz9471,8,1,neutral,1,0.6502924,0.33835763,0.6502924,0.01135001
bayar bjorka,12,2,neutral,1,0.69621074,0.26263213,0.69621074,0.041157104
mimpi bjorka anak buah sambo,28,5,neutral,1,0.9526382,0.042831,0.9526382,0.0045308713
yg gua tuju,11,3,neutral,1,0.954972,0.040899523,0.954972,0.00412848
hukum d suap mo kasih bukti gunung ttp bs lolos,47,10,neutral,1,0.61539775,0.038241692,0.61539775,0.34636056
mesin nine dragon biar managemen konflik rakyat alih berita yg,62,10,neutral,1,0.9541789,0.0025481132,0.9541789,0.043272845
dy kl slruh masyrkt indonesia patungan mmbayar y,48,8,neutral,1,0.68277085,0.0122634955,0.68277085,0.30496562
pojok,5,1,neutral,1,0.4530115,0.18693334,0.4530115,0.36005524
kopihitam76 jaman 8090an ketat bwang konon buat simpang langsung dor petrus ketat bwang,87,13,neutral,1,0.54600555,0.022757294,0.54600555,0.43123707
ernikrahmawatic3o,17,1,neutral,1,0.95624393,0.03706337,0.95624393,0.0066926433
alih isu,8,2,neutral,1,0.9784978,0.010134075,0.9784978,0.011368046
atiki1g menghbiskan anggar apbn lindung pejabt br gk dhakimi dbayar tat tet tot d jln rya br bsa godain perwat,110,20,neutral,1,0.73002523,0.18024284,0.73002523,0.089731924
rezahandika7058 hongkong tuh polisi jln kaki keliling g yg curiga tp aman lingkung duduk manis kantor,101,16,neutral,1,0.97828215,0.017495053,0.97828215,0.0042228387
wajib pasang kendara sablon baju nih katakata,45,7,neutral,1,0.67736256,0.3082379,0.67736256,0.014399493
magsud ladusing 62,18,3,neutral,1,0.63094616,0.067720324,0.63094616,0.30133355
hibur data jual swasta hibur,28,5,neutral,1,0.9947562,0.0010664611,0.9947562,0.0041773636
kalo indo jalur rekom teman relasi alumni keluarga,50,8,neutral,1,0.99190336,0.0032482943,0.99190336,0.004848355
sawah facebluesmiling facebluesmiling facebluesmiling,53,4,neutral,1,0.982103,0.015324264,0.982103,0.002572749
farzx3428,9,1,neutral,1,0.9380048,0.05470603,0.9380048,0.0072891545
kalo nyari pimpin,17,3,neutral,1,0.5946212,0.34389395,0.5946212,0.061484832
satire or sarkas,16,3,neutral,1,0.726381,0.04384413,0.726381,0.2297749
randasofyanbukeranda3194 lelucon parah om ded,45,5,neutral,1,0.7100414,0.0029541655,0.7100414,0.28700447
nyari simpati xl nyari empati empedu,36,6,neutral,1,0.6132261,0.010004103,0.6132261,0.3767698
iqmanfaturansyah abang ngerespon menit 2300 mo ngelucu,54,7,neutral,1,0.8352868,0.0027114453,0.8352868,0.16200179
ajar beda blackhat whitehat greyhat kira2 bjorka identitas,58,8,neutral,1,0.56718063,0.014013664,0.56718063,0.4188058
sen lu udah gw baca,19,5,neutral,1,0.9701306,0.008714734,0.9701306,0.021154653
dh gw baca nih trs yg hrs gw lkukan brp imbal,45,11,neutral,1,0.98283744,0.004353257,0.98283744,0.012809322
thus spoken bjorka nggih mbah,29,5,neutral,1,0.4015015,0.3401025,0.4015015,0.25839597
fahrifadliv7y,13,1,neutral,1,0.5777561,0.4145902,0.5777561,0.007653696
yak sodarasodara scorenya bjorka 1 polisi 0,43,7,neutral,1,0.87329745,0.101448424,0.87329745,0.02525417
gua bjorka nonton podcast ngopi ketawa ketawa polisi konoha gin yak,67,11,neutral,1,0.6549746,0.19937204,0.6549746,0.1456533
om tuju cara2 nya sayembara temu celah yg perban pentest aman cyber,67,12,neutral,1,0.96519333,0.019429779,0.96519333,0.0153769385
plot twist nya bjorka nya asli teguh aprianto ajak deddy corbuzier podcast v,76,13,neutral,1,0.9962949,0.0032377734,0.9962949,0.00046738816
cuman roy suryo rismon nangkep bjorka,37,6,neutral,1,0.94591063,0.0031452626,0.94591063,0.050944123
dr berita bjorka ketangkep gw percaya si syahroni hamil lucinta luna,68,11,neutral,1,0.961688,0.01908113,0.961688,0.019230843
bjorka 3 polisi 0,17,4,neutral,1,0.9968418,0.0014565164,0.9968418,0.0017017348
30 balas bre,12,3,neutral,1,0.870347,0.01919535,0.870347,0.11045769
polisi 10,9,2,neutral,1,0.7927359,0.045361537,0.7927359,0.16190258
bjorkan all in,14,3,neutral,1,0.7011675,0.28012362,0.7011675,0.018708814
30 0,4,2,neutral,1,0.48502374,0.17968486,0.48502374,0.33529145
iya orang indonesia notice channel yg bahas,43,7,neutral,1,0.94489366,0.04357542,0.94489366,0.011530998
bjorka anonymous individu pake nick bjorka wkwkwk orangorang cerdas,67,9,neutral,1,0.81830466,0.11028925,0.81830466,0.07140607
bjirka,6,1,neutral,1,0.541713,0.36345074,0.541713,0.09483621
isilopisi amplop,16,2,neutral,1,0.9951342,0.0013217444,0.9951342,0.0035440258
nazwashaqifachannel1231 bjoker bang bjirrr,42,4,neutral,1,0.9898754,0.009062339,0.9898754,0.0010623038
bos judol tangkap buka situs judol seponsor utama liga inggris 1015 team liga inggris sponsor baju nya judol,108,18,neutral,1,0.9544267,0.0015186822,0.9544267,0.04405457
bandara judol backingi anggota,30,4,neutral,1,0.9894209,0.0015553494,0.9894209,0.009023723
tangkap bjorka bijirka,22,3,neutral,1,0.9822949,0.0012272112,0.9822949,0.016477883
fufufafa 4615,13,2,neutral,1,0.9126632,0.078395315,0.9126632,0.0089414045
fuadbarokah negara invest nya anggota dpr bumn bro,50,8,neutral,1,0.8528945,0.14015526,0.8528945,0.006950229
thekatzenbergbismillah assalamualaikum jual rumah dgn harga tanah kosong luas tanah 700m luas bangun 500mpersegi cocok usahadan rumah pribadi lokasi jln kedung baruk no 140sby timur persis indomart rumah ininol jln raya jual cuman harga tanah kosong sajasurat shm ready 14 kamar kos penuh hun,292,44,neutral,1,0.8020894,0.16401014,0.8020894,0.033900484
agussv2u woy jgn doxing klw mw dagang silah posting channel pribadi atw channel khusus dagang,93,15,neutral,1,0.9594742,0.011118563,0.9594742,0.029407196
thekatzenbergkesempatan langka beli rumah rumah incam nya tahun 75jt jual harga tanah lokasi strategis keliling 5 universitas besar sby hotel besar indonesia lokasi jln kedung baruk no 140 kec rungkut sby luas tanah 700m luas bangun 500m,237,37,neutral,1,0.875903,0.12127072,0.875903,0.0028262362
okynurfattah wkwkwkwkwk player ditangkep sesuai lapor masyarakat,64,7,neutral,1,0.57848537,0.0042402074,0.57848537,0.4172745
dah jaman qris e wallet,23,5,neutral,1,0.877888,0.007443848,0.877888,0.11466818
kaya dalam polisi lihat jejak digital rekrutmen naik pangkat polisi terjun daerah operasi militer dalam negeri negeri itu pangkat kopral sersan tni,147,22,neutral,1,0.9478708,0.0017659268,0.9478708,0.05036336
mariasyarif884 emang gabisa krna mampu polisi indo ga,53,8,neutral,1,0.8734476,0.045433573,0.8734476,0.08111883
makan mie ayam nonton ni video,30,6,neutral,1,0.9945832,0.0029327264,0.9945832,0.002484173
kacang macadamia,16,2,neutral,1,0.5659476,0.40578747,0.5659476,0.028264878
udah ajak ga karna polisi tameng jadi penting yg bilang,55,10,neutral,1,0.62072146,0.00603305,0.62072146,0.3732455
password nya admin123 bang wkwk,31,5,neutral,1,0.96583986,0.005506274,0.96583986,0.02865381
kkn xixiixxi 2 minggu berita nihh stay tune,43,8,neutral,1,0.98028666,0.018200854,0.98028666,0.0015125175
telkomdso123,12,1,neutral,1,0.968513,0.028799709,0.968513,0.0026872123
cheazet1haku yg pake wifi bangun pesantren rumah ku apa ustadz bjorka,69,11,neutral,1,0.9892083,0.0012721402,0.9892083,0.0095195575
kadang ditawarin third party bikin webaplikasi perintah tolak dana yg tawar 12 jt atas ratus juta proposal programmer alhasil sistem sesuai budget,146,22,neutral,1,0.88291955,0.047166847,0.88291955,0.06991359
bjorka yg ngomong,17,3,neutral,1,0.9589964,0.0045184535,0.9589964,0.03648515
bjorka clown laughing at you,28,5,neutral,1,0.88372535,0.10987537,0.88372535,0.0063992953
1750 ulti teguh,15,3,neutral,1,0.9935735,0.0048711947,0.9935735,0.0015552823
gw inget baca teroris isis ledakin bom bunuh perancis november 2015 100 orang tinggal kordinasi pake fiture chat ps5,116,19,neutral,1,0.9599675,0.00146708,0.9599675,0.038565375
polisi indonesia nangkap bjorka nangkap koruptor dalam gedung dpr,65,9,neutral,1,0.9777158,0.0007217633,0.9777158,0.021562334
bjorka v for vendetta,21,4,neutral,1,0.99294114,0.0055749775,0.99294114,0.0014839162
3 lucu hasil nangkap bjorka,27,5,neutral,1,0.91240156,0.082580015,0.91240156,0.0050183353
pertamina,9,1,neutral,1,0.57918453,0.39251956,0.57918453,0.028295852
kompetisi stand up komedi kompor gas,36,6,neutral,1,0.9788067,0.020235555,0.9788067,0.0009576766
semutmerah8658 iya konten yg,28,4,neutral,1,0.99393034,0.004975653,0.99393034,0.0010940352
serang teroris paris 2015 bukti make chat ps5 bang ps5 rilis,60,11,neutral,1,0.9801995,0.0015650649,0.9801995,0.018235456
ngaco ps 5 udh nongol 2015,26,6,neutral,1,0.7600079,0.0885309,0.7600079,0.15146118
anak kursus online free 7 kl pro byr tp msk komunitas pc hrs bgs anak bljr dr umur 10 thn kls 6 sd skrg udh kls 10tmnnya dr india china rusia,141,31,neutral,1,0.9498714,0.020410802,0.9498714,0.029717771
udah mah kerja it security audit bankingtelco divisi internal,61,9,neutral,1,0.972234,0.006391508,0.972234,0.021374524
miegoreng8902 ngerti mustinya anak it klo ga tar ngangngong ngangong ga sih,75,12,neutral,1,0.8366229,0.018086601,0.8366229,0.14529045
kalo vina garut gimana banj,27,5,neutral,1,0.6174643,0.014505486,0.6174643,0.3680303
koroptur beda lg mas naung polri utk lidi,41,8,neutral,1,0.9780433,0.01367854,0.9780433,0.008278173
alat,4,1,neutral,1,0.74683464,0.2196299,0.74683464,0.033535536
nitasulistianiw8e,17,1,neutral,1,0.9083157,0.08573174,0.9083157,0.005952581
deym udah nama,14,3,neutral,1,0.90703666,0.06523443,0.90703666,0.027728941
mohfahrezyramadhani1944 iya wkwk bgt gak inget film,51,7,neutral,1,0.9472258,0.0063998443,0.9472258,0.04637437
justryujiin hilang pasu polisi india,36,5,neutral,1,0.56603646,0.0013145048,0.56603646,0.43264905
bjorka anonymous gak sembarang ketangkep,40,5,neutral,1,0.4811967,0.30445838,0.4811967,0.21434487
pake metode pas nangkep pegi alias ong dlm vina isilop isilop,61,11,neutral,1,0.7115613,0.0029862789,0.7115613,0.2854524
plot twist nya bjorka yg wawancara dipodcast,44,7,neutral,1,0.99334717,0.0049550426,0.99334717,0.0016978427
liat video gokil langsung ken ngejar scatter,44,7,neutral,1,0.9476491,0.045740187,0.9476491,0.0066106995
tuju polisi up bjorka tarik isu tutup isu reformasi polri polri naik isu tutup,78,14,neutral,1,0.9880349,0.0015135196,0.9880349,0.010451623
mas teguh jirr,14,3,neutral,1,0.65926003,0.3339903,0.65926003,0.006749599
mr puddi,8,2,neutral,1,0.61631566,0.27627873,0.61631566,0.10740563
sempet pikir kesitu ga kali yaa,31,6,neutral,1,0.7976984,0.012384066,0.7976984,0.18991758
banyak nonton film jir,22,4,neutral,1,0.7256614,0.23724899,0.7256614,0.037089642
sih tpi gw kenal komunitas,26,5,neutral,1,0.92664206,0.05616281,0.92664206,0.017195111
wawancara plot twist,20,3,neutral,1,0.9765554,0.008597654,0.9765554,0.014846882
kalo bjorka sih om kalo kenal iya,33,7,neutral,1,0.9714982,0.02334075,0.9714982,0.005160985
uwaisalqarniworld iya e,23,3,neutral,1,0.9895028,0.008649486,0.9895028,0.0018477453
musafiradventure iya jg ngk tau kn blum yg buktiin,50,9,neutral,1,0.98753023,0.009870067,0.98753023,0.002599728
wkwk menit 617 psikologi sbnernya,33,5,neutral,1,0.98994035,0.003689659,0.98994035,0.0063699693
liat aja yg abis podcastnya om ded selang 3 minggu ciduk,56,11,neutral,1,0.99213105,0.0056481394,0.99213105,0.0022207564
ap tni,6,2,neutral,1,0.80259025,0.14378637,0.80259025,0.05362348
osamasaeni buzzer,17,2,neutral,1,0.92528677,0.058682106,0.92528677,0.01603121
nirvana090 klo jelas oknum dalam bank,37,6,neutral,1,0.9355632,0.00078121753,0.9355632,0.063655496
nirvana090 bri jadi bank tanggung laku orang,44,7,neutral,1,0.99486405,0.0010863063,0.99486405,0.004049568
nirvana090 cek mutasi uang kmna,31,5,neutral,1,0.9983479,0.00094426115,0.9983479,0.00070787076
nirvana090 mah main orang bri nya,33,6,neutral,1,0.97904634,0.0035431865,0.97904634,0.017410463
anak lulus sma modal jual tanah ortu polisi sukses tangkap bjorka,65,11,neutral,1,0.99619365,0.0010194184,0.99619365,0.002787008
kempu it polri lulus sekolah it ipk 4 msih dbawah mampu it independent,70,13,neutral,1,0.9665424,0.008166759,0.9665424,0.02529083
jadi agustus 2025 tokopediagopaylater gw kena bobol ga klikbait ga otp tibatiba kena bajak korban aktivitas 5 transaksi bayar pln orang sampe 9juta lapor polisi proses mudah2 ketangkep lapor ojk kasih slik gw rakyat guna ojk ditelponin debt collector,250,39,neutral,1,0.56208277,0.010900127,0.56208277,0.42701712
1746 instansi abu butuh aku,27,5,neutral,1,0.99740726,0.0013811825,0.99740726,0.0012115729
bjorka nyender makan telor gulung ama es teh jumbo teras liat berita silop indo,79,14,neutral,1,0.9931937,0.0047042184,0.9931937,0.0021021448
info webnya mas,15,3,neutral,1,0.99209034,0.0070408126,0.99209034,0.0008688346
ah iya,6,2,neutral,1,0.5867798,0.37319374,0.5867798,0.04002654
yap masing2 aja skip hehehe yg gak nyenggol aja,47,9,neutral,1,0.5520409,0.20147555,0.5520409,0.24648356
thekatzenberg bjorka simo hayha,31,4,neutral,1,0.97671837,0.018242264,0.97671837,0.005039329
900 juta modal halo dek,23,5,neutral,1,0.98332304,0.013300318,0.98332304,0.0033767126
sebenrnya polri krena sebgai institusi negara akses,51,7,neutral,1,0.8331038,0.0822249,0.8331038,0.08467128
durray13 narasi,15,2,neutral,1,0.8433234,0.10074971,0.8433234,0.055926893
winsclipss buru bikin bang siapatau tau,39,6,neutral,1,0.74395734,0.14812444,0.74395734,0.10791822
dukung ps 3334 uud45,20,4,neutral,1,0.95809245,0.039036896,0.95809245,0.0028706419
durray13 klu baca alkitab orthodox kitab hidup dr jadi sd wahyu jgn setengah2 iq78,82,14,neutral,1,0.92897683,0.0070562917,0.92897683,0.063966855
pro rakyat data rakyat indonesia jual,37,6,neutral,1,0.5561518,0.23825179,0.5561518,0.2055964
suruh dateng dcnya tunjukkin bukti lapor polisi nya,51,8,neutral,1,0.8051958,0.0020371685,0.8051958,0.19276708
kaka kena 25juta tokopedia 413,30,5,neutral,1,0.9969807,0.0007105163,0.9969807,0.0023087303
mrnefoslo hape ku 2tahun,24,4,neutral,1,0.977718,0.003058972,0.977718,0.019223068
anak 17 pohon cita ken rumah,28,6,neutral,1,0.936711,0.05498145,0.936711,0.008307549
ana umur 9 bln bercitacita dokter,33,6,neutral,1,0.99534297,0.0013004785,0.99534297,0.0033566086
bravo damkar sih kalo tni ga sihh,33,7,neutral,1,0.49918878,0.1889903,0.49918878,0.31182086
tuju aju adik autisme adik konsinten,36,6,neutral,1,0.9686488,0.016705208,0.9686488,0.014646022
bjorka bjirrr buka bjirka,25,4,neutral,1,0.9852482,0.012755604,0.9852482,0.0019961637
liat podcast liat bjorka ktnya tuju uang sy bjorka org yg butuh khusus terka lembut,83,15,neutral,1,0.897343,0.09459649,0.897343,0.008060532
3 lucu bjorka tangkap polisi,28,5,neutral,1,0.95431674,0.001221866,0.95431674,0.04446148
tolog undang onno w purbo profesor yg pny cita2 gratis internet indonesia beliau laut ilmu komputer,99,16,neutral,1,0.94852436,0.04683137,0.94852436,0.0046442403
mensubcribe konten youtube mula bantu rafi ahmad beli mobil rumah mewah bantu anak juang mimpi orangtuanya semangat temen temen youtuber mula,141,21,neutral,1,0.7897175,0.14861748,0.7897175,0.061665002
bjorka feri irwandi,19,3,neutral,1,0.9953311,0.0032137462,0.9953311,0.0014551166
3 minggu hilang motor lapor polisi tau lapor polisi,51,9,neutral,1,0.75510883,0.0012418346,0.75510883,0.24364933
biorka nyimak vidio ngopi senyum nih lw gitu,44,8,neutral,1,0.79377514,0.15789898,0.79377514,0.048325792
emg bjorka 1 orang,18,4,neutral,1,0.97021353,0.013849248,0.97021353,0.015937187
alih isu pertamina,18,3,neutral,1,0.99135953,0.0042788186,0.99135953,0.0043617007
luckymangaroet100 kalo kasih alesan blabla gitu bos kantor alami,64,9,neutral,1,0.94671065,0.049864538,0.94671065,0.0034248205
polres konoha selatan barat nih bg,34,6,neutral,1,0.98960924,0.008867543,0.98960924,0.0015232016
ferry hack lumba billing warnet,31,5,neutral,1,0.99395317,0.0006791076,0.99395317,0.0053677973
ngaco bjorka timothy ronald,27,4,neutral,1,0.90607363,0.08794719,0.90607363,0.0059792274
bjorka guru gembul,18,3,neutral,1,0.8212003,0.016008066,0.8212003,0.16279167
gw sdh tau komedi,17,4,neutral,1,0.63477033,0.3573586,0.63477033,0.0078710755
ntar pas smpe kantor polisi jg suruh ikhlasin kyk yg udah udah,62,12,neutral,1,0.782446,0.019646736,0.782446,0.19790721
mantan narapidana sila masuk,28,4,neutral,1,0.99709094,0.0008714145,0.99709094,0.002037686
2023 motor hilang ga lapor,26,5,neutral,1,0.9333108,0.0006617264,0.9333108,0.06602744
saran ka normal aja suruh bacain puter giling,45,8,neutral,1,0.8772382,0.002718922,0.8772382,0.12004278
muhammadfarhanex1mp bap doang abis arsip,40,5,neutral,1,0.9140321,0.0008171289,0.9140321,0.0851508
krn polisi sibuk ngurus bjorka,30,5,neutral,1,0.6684153,0.003522321,0.6684153,0.3280624
bjorka asli abang podcast,25,4,neutral,1,0.96348906,0.035490554,0.96348906,0.0010203746
miraclerna93 pikir,18,2,neutral,1,0.93519306,0.042977072,0.93519306,0.021829799
ngira bjorka individu kalo gua sih kalo bjorka gak individu kelompok ato semacem komunitas gitu sih,99,16,neutral,1,0.68989164,0.10920059,0.68989164,0.20090784
gin om ded mesti ajak ngobrol jim geovedi deh,45,9,neutral,1,0.98445016,0.013791883,0.98445016,0.0017579695
bjorka polisi tangkap,21,3,neutral,1,0.9849124,0.0006676416,0.9849124,0.014419979
bjorka nonton nih podcast,25,4,neutral,1,0.9942122,0.0053384565,0.9942122,0.00044935668
5712 gua keinget smart contract yg,34,6,neutral,1,0.9908461,0.0024873912,0.9908461,0.0066664675
alih isu lindas ojol,20,4,neutral,1,0.99064916,0.004937891,0.99064916,0.0044129277
bilang statement kualitas tim cyber polisi dlupun komunitas sbh yg tangkap 700 bawah lapor fbi polisi indonesia lokasi kini surabaya,132,20,neutral,1,0.7425942,0.0020580182,0.7425942,0.25534785
blur gak sorot org2 udah tau si teguh,37,8,neutral,1,0.52541053,0.14046374,0.52541053,0.3341257
merintislagi wkwkwk lihat aja,29,4,neutral,1,0.9659995,0.010809461,0.9659995,0.023191007
klw kelompok sudh dri tangkap,29,5,neutral,1,0.85269415,0.009719748,0.85269415,0.13758606
